Iteration,Current evaluation,Best evaluation,Time Used,Current colours used,Best colours used
1,-3672,-3672,1.1168288229964674,73,73
2,-3676,-3676,1.605853121029213,73,73
3,-3678,-3678,2.2087757571134716,73,73
4,-3680,-3680,2.820674590067938,73,73
5,-3682,-3682,3.378580000018701,73,73
6,-3684,-3684,4.043192045064643,73,73
7,-3686,-3686,4.737854043021798,73,73
8,-3690,-3690,5.293528998969123,73,73
9,-3696,-3696,6.009668166050687,73,73
10,-3698,-3698,6.680206798948348,73,73
11,-3702,-3702,7.245777045143768,73,73
12,-3708,-3708,7.909972049063072,73,73
13,-3710,-3710,8.591083214152604,73,73
14,-3712,-3712,9.121436848072335,73,73
15,-3718,-3718,9.758390197064728,73,73
16,-3720,-3720,10.417045142035931,73,73
17,-3722,-3722,10.932547636097297,73,73
18,-3728,-3728,11.582015907159075,73,73
19,-3736,-3736,12.166236402001232,72,72
20,-3738,-3738,12.819785243133083,72,72
21,-3740,-3740,13.503062275936827,72,72
22,-3746,-3746,14.145709535107017,72,72
23,-3748,-3748,15.110966898035258,72,72
24,-3750,-3750,15.77990832994692,72,72
25,-3752,-3752,16.264300195965916,72,72
26,-3754,-3754,16.88338577095419,72,72
27,-3762,-3762,17.393955161096528,72,72
28,-3764,-3764,18.015681462129578,72,72
29,-3766,-3766,18.66136100399308,72,72
30,-3768,-3768,19.223699267953634,72,72
31,-3770,-3770,19.876994067104533,72,72
32,-3772,-3772,20.500850290060043,72,72
33,-3774,-3774,21.048518168041483,72,72
34,-3776,-3776,21.71506688115187,72,72
35,-3778,-3778,22.346069279126823,72,72
36,-3780,-3780,22.90973859699443,72,72
37,-3782,-3782,23.57625977601856,72,72
38,-3790,-3790,24.195680127944797,72,72
39,-3792,-3792,24.74226586613804,72,72
40,-3794,-3794,25.384371662978083,72,72
41,-3798,-3798,26.075280271936208,72,72
42,-3804,-3804,26.643147218972445,72,72
43,-3806,-3806,27.360918428981677,72,72
44,-3808,-3808,28.106130491010845,72,72
45,-3810,-3810,28.699646461987868,72,72
46,-3814,-3814,29.369831701973453,72,72
47,-3818,-3818,29.970458238152787,71,71
48,-3820,-3820,30.67816874315031,71,71
49,-3828,-3828,31.276151282945648,71,71
50,-3832,-3832,31.993410213151947,71,71
51,-3836,-3836,32.586778877070174,71,71
52,-3838,-3838,33.31086420593783,71,71
53,-3840,-3840,33.90926912194118,71,71
54,-3842,-3842,34.58134275302291,71,71
55,-3844,-3844,35.1726888041012,71,71
56,-3852,-3852,35.73665540013462,70,70
57,-3854,-3854,36.3806051381398,70,70
58,-3858,-3858,37.09435878507793,70,70
59,-3860,-3860,37.69378419802524,70,70
60,-3862,-3862,38.41337246494368,70,70
61,-3870,-3870,39.15271308505908,70,70
62,-3874,-3874,39.77319862600416,70,70
63,-3882,-3882,40.43867250904441,69,69
64,-3884,-3884,41.159427418140694,69,69
65,-3886,-3886,41.773211173014715,69,69
66,-3888,-3888,42.496562724001706,69,69
67,-3890,-3890,43.251565309939906,69,69
68,-3892,-3892,43.78607736597769,69,69
69,-3896,-3896,44.52462045196444,69,69
70,-3898,-3898,45.101169103058055,69,69
71,-3900,-3900,45.827443418093026,69,69
72,-3906,-3906,46.57253392203711,69,69
73,-3908,-3908,47.119627855019644,69,69
74,-3914,-3914,47.80065759108402,68,68
75,-3916,-3916,48.4306750590913,68,68
76,-3918,-3918,49.093894310994074,68,68
77,-3920,-3920,49.75907021202147,68,68
78,-3922,-3922,50.29536405298859,68,68
79,-3924,-3924,50.97298918804154,68,68
80,-3926,-3926,51.54672779305838,68,68
81,-3928,-3928,52.169943432090804,68,68
82,-3930,-3930,52.81154508003965,68,68
83,-3932,-3932,53.361948071978986,68,68
84,-3936,-3936,54.043301785131916,68,68
85,-3938,-3938,54.77377033815719,68,68
86,-3940,-3940,55.337185013107955,68,68
87,-3942,-3942,55.98983388906345,68,68
88,-3948,-3948,56.60274244612083,68,68
89,-3952,-3952,57.37997093005106,68,68
90,-3956,-3956,58.173707340145484,68,68
91,-3958,-3958,58.70081178401597,68,68
92,-3958,-3958,58.98346857307479,68,68
93,-3966,-3966,59.51268151309341,68,68
94,-3970,-3970,60.19235374010168,68,68
95,-3974,-3974,60.77606343710795,68,68
96,-3980,-3980,61.40374546404928,68,68
97,-3982,-3982,62.09184590098448,68,68
98,-3986,-3986,62.716130272019655,67,67
99,-3986,-3986,62.99887570599094,67,67
100,-3986,-3986,63.18750642705709,67,67
101,-3988,-3988,63.93622563406825,67,67
102,-3996,-3996,64.542479487136,67,67
103,-3996,-3996,64.81932606711052,67,67
104,-3996,-3996,64.99801691598259,67,67
105,-3996,-3996,65.17774009611458,67,67
106,-4000,-4000,65.84126097313128,67,67
107,-4004,-4004,66.56416522804648,67,67
108,-4006,-4006,67.12747286004014,67,67
109,-4006,-4006,67.4177681680303,67,67
110,-4012,-4012,68.0314082489349,67,67
111,-4012,-4012,68.21091593196616,67,67
112,-4014,-4014,68.84929375513457,67,67
113,-4016,-4016,69.549121679971,67,67
114,-4018,-4018,70.15520401112735,67,67
115,-4020,-4020,70.82606010697782,67,67
116,-4022,-4022,71.49460243899375,67,67
117,-4028,-4028,72.05631476198323,67,67
118,-4028,-4028,72.34215990896337,67,67
119,-4028,-4028,72.51729424996302,67,67
120,-4032,-4032,73.28099162597209,67,67
121,-4034,-4034,73.91868105414324,67,67
122,-4034,-4034,74.20907691097818,67,67
123,-4034,-4034,74.39057637914084,67,67
124,-4034,-4034,74.57740843505599,67,67
