Iteration,Current evaluation,Best evaluation,Time Used,Current colours used,Best colours used
1,-1690,-1690,0.262847094098106,42,42
2,-1692,-1692,0.43917867192067206,42,42
3,-1698,-1698,0.5581821498926729,42,42
4,-1700,-1700,0.7365471310913563,42,42
5,-1702,-1702,0.9224748820997775,41,41
6,-1706,-1706,1.048498238902539,41,41
7,-1708,-1708,1.2910413139034063,41,41
8,-1710,-1710,1.4944550138898194,41,41
9,-1720,-1720,1.7251903780270368,40,40
10,-1722,-1722,1.9157218949403614,40,40
11,-1724,-1724,2.159420067910105,40,40
12,-1726,-1726,2.3629362010397017,40,40
13,-1728,-1728,2.5002262031193823,40,40
14,-1730,-1730,2.701739341020584,40,40
15,-1732,-1732,2.844376530032605,40,40
16,-1734,-1734,3.0686425359454006,40,40
17,-1736,-1736,3.188382094958797,40,40
18,-1738,-1738,3.4010829410981387,40,40
19,-1740,-1740,3.6130821090191603,40,40
20,-1742,-1742,3.7457958259619772,40,40
21,-1746,-1746,3.9696181959006935,40,40
22,-1752,-1752,4.117439470952377,40,40
23,-1754,-1754,4.324893049895763,40,40
24,-1756,-1756,4.46927008102648,40,40
25,-1760,-1760,4.673509404063225,40,40
26,-1762,-1762,4.875545298913494,40,40
27,-1766,-1766,5.03213678393513,40,40
28,-1772,-1772,5.246311838040128,39,39
29,-1772,-1772,5.291713604005054,39,39
30,-1776,-1776,5.439867283916101,39,39
31,-1778,-1778,5.646489480044693,39,39
32,-1778,-1778,5.696938072098419,39,39
33,-1778,-1778,5.74307420803234,39,39
34,-1778,-1778,5.788642684929073,39,39
35,-1778,-1778,5.8369223170448095,39,39
36,-1778,-1778,5.886688750004396,39,39
37,-1778,-1778,6.006865652976558,39,39
38,-1778,-1778,6.056384701048955,39,39
39,-1780,-1780,6.199134329101071,39,39
40,-1786,-1786,6.441028522094712,39,39
41,-1788,-1788,6.592189355986193,39,39
42,-1790,-1790,6.797962706070393,39,39
43,-1792,-1792,6.934091051109135,39,39
44,-1798,-1798,7.139869760954753,39,39
45,-1802,-1802,7.347178957890719,39,39
46,-1804,-1804,7.502654127078131,38,38
47,-1804,-1804,7.551404762081802,38,38
48,-1810,-1810,7.758252434898168,38,38
49,-1810,-1810,7.808739317115396,38,38
50,-1812,-1812,8.045251254923642,38,38
51,-1812,-1812,8.092871546978131,38,38
52,-1812,-1812,8.139143449952826,38,38
53,-1816,-1816,8.273795003071427,38,38
54,-1818,-1818,8.503832397982478,38,38
55,-1824,-1824,8.674072127090767,37,37
56,-1824,-1824,8.792211567051709,37,37
57,-1824,-1824,8.842135014012456,37,37
58,-1824,-1824,8.889652600046247,37,37
59,-1832,-1832,9.035778040066361,36,36
60,-1834,-1834,9.259267057990655,36,36
61,-1836,-1836,9.421166308922693,36,36
62,-1836,-1836,9.470296004088596,36,36
63,-1838,-1838,9.712906518951058,36,36
64,-1838,-1838,9.75865996396169,36,36
65,-1838,-1838,9.80450406507589,36,36
66,-1842,-1842,10.030986452009529,36,36
67,-1842,-1842,10.07749286107719,36,36
68,-1842,-1842,10.126221522921696,36,36
69,-1844,-1844,10.357223276980221,36,36
70,-1844,-1844,10.40558971092105,36,36
71,-1844,-1844,10.453150348970667,36,36
72,-1844,-1844,10.50119244796224,36,36
73,-1846,-1846,10.646116503048688,36,36
74,-1846,-1846,10.69401595601812,36,36
75,-1846,-1846,10.81218447489664,36,36
76,-1846,-1846,10.860838467022404,36,36
77,-1846,-1846,10.911914367927238,36,36
78,-1850,-1850,11.055352444993332,36,36
79,-1856,-1856,11.313075612997636,36,36
80,-1856,-1856,11.36150683904998,36,36
81,-1856,-1856,11.409937252057716,36,36
82,-1856,-1856,11.460244019981474,36,36
83,-1856,-1856,11.508981931954622,36,36
84,-1856,-1856,11.55873120506294,36,36
85,-1856,-1856,11.61086106998846,36,36
86,-1856,-1856,11.73291107499972,36,36
87,-1856,-1856,11.781338883098215,36,36
88,-1856,-1856,11.833892059046775,36,36
89,-1858,-1858,11.978286067023873,36,36
90,-1858,-1858,12.028579567093402,36,36
91,-1858,-1858,12.081073730019853,36,36
92,-1858,-1858,12.198389562079683,36,36
93,-1862,-1862,12.35173878306523,36,36
94,-1862,-1862,12.40159893897362,36,36
95,-1864,-1864,12.630355339962989,36,36
96,-1864,-1864,12.680124070961028,36,36
97,-1866,-1866,12.850356155075133,36,36
98,-1866,-1866,12.970732860965654,36,36
99,-1866,-1866,13.020555190043524,36,36
100,-1866,-1866,13.072194081032649,36,36
101,-1866,-1866,13.123002744046971,36,36
102,-1866,-1866,13.173387327929959,36,36
103,-1868,-1868,13.349067294970155,36,36
104,-1868,-1868,13.471246189903468,36,36
105,-1868,-1868,13.519896097946912,36,36
106,-1868,-1868,13.568733759922907,36,36
107,-1868,-1868,13.621911010006443,36,36
108,-1868,-1868,13.675583471078426,36,36
109,-1868,-1868,13.725750466110185,36,36
110,-1868,-1868,13.774887410923839,36,36
111,-1868,-1868,13.829498156905174,36,36
112,-1870,-1870,14.09513137396425,36,36
113,-1870,-1870,14.146896477090195,36,36
114,-1870,-1870,14.196584487101063,36,36
115,-1870,-1870,14.249786314088851,36,36
116,-1870,-1870,14.300459411926568,36,36
117,-1870,-1870,14.353665706934407,36,36
118,-1868,-1870,14.406613105908036,36,36
119,-1870,-1870,14.4666614679154,36,36
120,-1870,-1870,14.61132492008619,36,36
121,-1874,-1874,14.833353128051385,36,36
122,-1874,-1874,14.959150638896972,36,36
123,-1874,-1874,15.102105267113075,36,36
124,-1874,-1874,15.22332385997288,36,36
125,-1874,-1874,15.329083634074777,36,36
126,-1874,-1874,15.54411109793,36,36
127,-1874,-1874,15.677808766951784,36,36
128,-1876,-1876,15.965338048059493,36,36
129,-1876,-1876,16.023828197969124,36,36
130,-1876,-1876,16.08336764201522,36,36
131,-1876,-1876,16.138674885965884,36,36
132,-1876,-1876,16.2889407989569,36,36
133,-1876,-1876,16.34722746303305,36,36
134,-1876,-1876,16.405553705058992,36,36
135,-1876,-1876,16.466532537946478,36,36
136,-1876,-1876,16.528682294068858,36,36
137,-1876,-1876,16.592290095984936,36,36
138,-1876,-1876,16.654606027994305,36,36
139,-1876,-1876,16.721151259960607,36,36
140,-1876,-1876,16.783217269927263,36,36
141,-1878,-1878,17.080279290908948,36,36
142,-1878,-1878,17.13741379091516,36,36
143,-1876,-1878,17.193244877038524,36,36
144,-1876,-1878,17.251236241078004,36,36
145,-1876,-1878,17.308164895046502,36,36
146,-1874,-1878,17.366402991116047,36,36
147,-1874,-1878,17.424357121111825,36,36
148,-1874,-1878,17.563322494039312,36,36
149,-1872,-1878,17.621976421913132,36,36
150,-1874,-1878,17.68259877199307,36,36
151,-1874,-1878,17.738623315934092,36,36
152,-1874,-1878,17.79610620997846,36,36
153,-1876,-1878,17.855457071913406,36,36
154,-1876,-1878,17.916656906018034,36,36
155,-1876,-1878,17.972910108976066,36,36
156,-1876,-1878,18.031688312999904,36,36
157,-1876,-1878,18.091030176030472,36,36
158,-1876,-1878,18.179383127950132,36,36
159,-1876,-1878,18.329780271975324,36,36
160,-1874,-1878,18.387666994938627,35,36
161,-1876,-1878,18.443583803949878,36,36
162,-1876,-1878,18.49987790104933,36,36
163,-1876,-1878,18.558532786089927,36,36
164,-1876,-1878,18.62155812396668,36,36
165,-1876,-1878,18.68094921694137,36,36
166,-1876,-1878,18.735863476991653,36,36
167,-1876,-1878,18.79530938412063,36,36
168,-1876,-1878,18.85688968608156,36,36
169,-1874,-1878,18.915012245997787,35,36
170,-1876,-1878,19.049873959971592,36,36
171,-1876,-1878,19.109228562097996,36,36
172,-1876,-1878,19.165124701103196,36,36
173,-1874,-1878,19.222077985992655,36,36
174,-1872,-1878,19.282814593985677,36,36
175,-1872,-1878,19.34303616802208,36,36
176,-1872,-1878,19.403517819941044,36,36
177,-1872,-1878,19.46490446710959,36,36
178,-1872,-1878,19.526937847025692,36,36
179,-1872,-1878,19.58827831898816,36,36
180,-1872,-1878,19.649635513080284,36,36
181,-1874,-1878,19.799759302055463,36,36
182,-1876,-1878,19.862236802000552,36,36
183,-1876,-1878,19.92350536189042,36,36
184,-1878,-1878,19.982677099993452,36,36
185,-1878,-1878,20.042886842042208,36,36
186,-1878,-1878,20.105746743967757,36,36
187,-1878,-1878,20.167614073958248,36,36
188,-1878,-1878,20.225828988011926,36,36
189,-1878,-1878,20.286854430101812,36,36
190,-1878,-1878,20.34789059893228,36,36
191,-1882,-1882,20.60986446007155,36,36
192,-1882,-1882,20.670711318030953,36,36
193,-1882,-1882,20.729636867064983,36,36
194,-1888,-1888,21.026292802998796,36,36
195,-1888,-1888,21.086369934026152,36,36
196,-1888,-1888,21.145404652925208,36,36
197,-1888,-1888,21.20354118105024,36,36
198,-1896,-1896,21.495099369902164,36,36
199,-1896,-1896,21.55285585206002,36,36
200,-1896,-1896,21.61433035810478,36,36
201,-1896,-1896,21.675011404091492,36,36
202,-1896,-1896,21.735493974993005,36,36
203,-1896,-1896,21.798450730973855,36,36
204,-1896,-1896,21.861387823941186,36,36
205,-1896,-1896,21.919933592900634,36,36
206,-1896,-1896,21.98044881504029,36,36
207,-1896,-1896,22.04485169891268,36,36
208,-1896,-1896,22.10603765398264,36,36
209,-1896,-1896,22.254113641101867,36,36
210,-1894,-1896,22.316288830013946,35,36
211,-1896,-1896,22.37598313204944,36,36
212,-1896,-1896,22.439047903055325,36,36
213,-1896,-1896,22.50532368104905,36,36
214,-1896,-1896,22.570617493009195,36,36
215,-1896,-1896,22.634098136099055,36,36
216,-1894,-1896,22.695724863093346,36,36
217,-1898,-1898,22.975689979968593,36,36
218,-1900,-1900,23.167349766008556,36,36
219,-1904,-1904,23.45292716100812,36,36
220,-1904,-1904,23.51633243006654,36,36
221,-1906,-1906,23.826176186092198,36,36
222,-1910,-1910,24.034740183968097,36,36
223,-1916,-1916,24.302446641027927,36,36
224,-1918,-1918,24.52181336400099,36,36
225,-1922,-1922,24.81288188905455,36,36
226,-1922,-1922,24.87495024409145,36,36
227,-1922,-1922,24.936759198084474,36,36
228,-1922,-1922,25.00194664299488,36,36
229,-1922,-1922,25.066911461995915,36,36
230,-1922,-1922,25.132996790111065,36,36
231,-1922,-1922,25.198980232002214,36,36
232,-1922,-1922,25.262260399991646,36,36
233,-1922,-1922,25.41224603098817,36,36
234,-1922,-1922,25.480984210036695,36,36
235,-1922,-1922,25.54428332298994,36,36
236,-1922,-1922,25.60892447992228,36,36
237,-1922,-1922,25.674621494021267,36,36
238,-1922,-1922,25.73858045390807,36,36
239,-1922,-1922,25.801904695108533,36,36
240,-1922,-1922,25.86678651510738,36,36
241,-1922,-1922,25.932741892989725,36,36
242,-1922,-1922,25.999830482061952,36,36
243,-1922,-1922,26.145224845968187,36,36
244,-1922,-1922,26.216600039042532,36,36
245,-1922,-1922,26.29364632209763,36,36
246,-1922,-1922,26.356154839973897,36,36
247,-1922,-1922,26.426740329014137,36,36
248,-1922,-1922,26.49067817092873,36,36
249,-1922,-1922,26.552957348059863,36,36
250,-1922,-1922,26.624405903974548,36,36
251,-1922,-1922,26.69271117495373,36,36
252,-1922,-1922,26.76280321693048,36,36
253,-1922,-1922,26.825026425998658,36,36
254,-1922,-1922,26.97371886111796,36,36
255,-1926,-1926,27.19527385290712,36,36
256,-1928,-1928,27.473613617010415,36,36
257,-1928,-1928,27.538710683118552,36,36
258,-1928,-1928,27.60045604291372,36,36
259,-1928,-1928,27.663395304000005,36,36
260,-1930,-1930,27.95617083995603,36,36
261,-1932,-1932,28.15931555093266,35,35
262,-1932,-1932,28.22437148191966,35,35
263,-1932,-1932,28.285135611891747,35,35
264,-1930,-1932,28.346988373901695,35,35
265,-1928,-1932,28.41012078197673,35,35
266,-1928,-1932,28.555828327080235,35,35
267,-1926,-1932,28.619675108930096,35,35
268,-1926,-1932,28.68056506407447,35,35
269,-1930,-1932,28.73968658898957,35,35
270,-1930,-1932,28.800283680902794,35,35
271,-1930,-1932,28.865862993057817,35,35
272,-1930,-1932,28.927888805046678,35,35
273,-1930,-1932,28.987356978934258,35,35
274,-1932,-1932,29.047376886941493,35,35
275,-1932,-1932,29.11122911493294,35,35
276,-1930,-1932,29.173951622098684,36,35
