Iteration,Current evaluation,Best evaluation,Time Used,Current colours used,Best colours used
1,-8330,-8330,3.94180461904034,128,128
2,-8332,-8332,6.33406891208142,128,128
3,-8336,-8336,8.785218897042796,128,128
4,-8338,-8338,13.222507589962333,128,128
5,-8342,-8342,15.70245877909474,128,128
6,-8344,-8344,17.817136666039005,128,128
7,-8348,-8348,20.3485810670536,128,128
8,-8350,-8350,22.71323096798733,128,128
9,-8352,-8352,24.860242699971423,128,128
10,-8358,-8358,27.43951808800921,128,128
11,-8360,-8360,30.01326274406165,128,128
12,-8364,-8364,33.30313173402101,128,128
13,-8366,-8366,36.77845544507727,128,128
14,-8370,-8370,38.90259021706879,128,128
15,-8374,-8374,41.40966864605434,128,128
16,-8376,-8376,43.503161111148074,128,128
17,-8380,-8380,46.05472668912262,128,128
18,-8382,-8382,48.34957000310533,128,128
19,-8384,-8384,50.460671989945695,128,128
20,-8386,-8386,52.981066370150074,128,128
21,-8388,-8388,55.58368936995976,128,128
22,-8390,-8390,57.85459588095546,128,128
23,-8392,-8392,60.049730096012354,128,128
24,-8396,-8396,62.221231195144355,128,128
25,-8398,-8398,64.66888218396343,128,128
26,-8400,-8400,66.9018695349805,128,128
27,-8404,-8404,69.457320202142,128,128
28,-8406,-8406,71.58910210104659,128,128
29,-8408,-8408,74.17958074598573,128,128
30,-8410,-8410,76.3947957220953,128,128
31,-8414,-8414,78.59277367894538,128,128
32,-8416,-8416,80.87698611407541,128,128
33,-8418,-8418,83.3761855410412,128,128
34,-8420,-8420,85.75644145114347,128,128
35,-8424,-8424,87.85568148712628,127,127
36,-8426,-8426,90.05406724801287,127,127
37,-8428,-8428,92.64192272396758,127,127
38,-8430,-8430,94.70279985410161,127,127
39,-8436,-8436,97.33127358811907,127,127
40,-8438,-8438,99.41373429307714,127,127
41,-8440,-8440,101.6747520531062,127,127
42,-8448,-8448,104.22313521895558,127,127
43,-8450,-8450,106.2786615700461,127,127
44,-8454,-8454,108.7734477519989,127,127
45,-8456,-8456,111.06355792703107,127,127
46,-8458,-8458,113.30733245494775,127,127
47,-8460,-8460,115.94869654392824,127,127
48,-8462,-8462,118.20466096606106,127,127
49,-8464,-8464,120.83009902900085,127,127
50,-8468,-8468,123.14845200511627,127,127
51,-8472,-8472,125.17778350203298,126,126
52,-8474,-8474,127.81153030111454,126,126
53,-8482,-8482,130.15493379207328,126,126
54,-8484,-8484,132.21676905895583,126,126
55,-8486,-8486,134.21228418312967,126,126
56,-8490,-8490,136.64853383298032,125,125
57,-8492,-8492,138.76657570898533,125,125
58,-8494,-8494,141.14171790215187,125,125
59,-8496,-8496,143.33187802904285,125,125
60,-8498,-8498,145.7037440589629,125,125
61,-8500,-8500,147.92317617312074,125,125
62,-8504,-8504,150.07424765801989,125,125
63,-8506,-8506,152.21516272705048,125,125
64,-8508,-8508,154.65801468514837,125,125
65,-8512,-8512,157.24663786403835,125,125
66,-8516,-8516,159.5923481080681,125,125
67,-8522,-8522,161.69720714492723,125,125
68,-8524,-8524,163.8926684220787,125,125
69,-8528,-8528,166.504090877017,125,125
70,-8530,-8530,168.66316364193335,125,125
71,-8532,-8532,171.29002405097708,125,125
72,-8536,-8536,173.65694429492578,125,125
73,-8538,-8538,175.90767005295493,125,125
74,-8542,-8542,178.15739984693937,125,125
75,-8544,-8544,180.44519826513715,125,125
76,-8546,-8546,182.63400420709513,125,125
77,-8550,-8550,185.2539842799306,125,125
78,-8558,-8558,187.45060401409864,125,125
79,-8560,-8560,189.42423372901976,125,125
