Iteration,Current evaluation,Best evaluation,Time Used,Current colours used,Best colours used
1,-3720,-3720,13.786540791857988,72,72
2,-3726,-3726,21.460575985023752,72,72
3,-3728,-3728,27.934419543016702,72,72
4,-3730,-3730,35.376763668842614,72,72
5,-3734,-3734,42.70430973195471,72,72
6,-3736,-3736,50.599733233917505,72,72
7,-3744,-3744,57.666114954976365,72,72
8,-3746,-3746,66.34184819390066,72,72
9,-3752,-3752,73.88178431382403,72,72
10,-3756,-3756,82.04939244198613,71,71
11,-3758,-3758,89.68926069396548,71,71
12,-3766,-3766,98.22586594801396,71,71
13,-3768,-3768,105.89659272204153,71,71
14,-3772,-3772,113.79624662688002,71,71
15,-3776,-3776,121.06116160796955,71,71
16,-3778,-3778,129.18727566185407,71,71
17,-3780,-3780,137.059825764969,71,71
18,-3782,-3782,145.76306299492717,71,71
19,-3784,-3784,153.48156630201265,71,71
20,-3786,-3786,161.55812793201767,71,71
21,-3788,-3788,169.05279342387803,71,71
22,-3790,-3790,176.83515506982803,71,71
23,-3792,-3792,184.55646739690565,71,71
24,-3794,-3794,192.62279944098555,71,71
25,-3798,-3798,199.63640943495557,71,71
26,-3800,-3800,207.6509415418841,71,71
27,-3802,-3802,215.03092813282274,71,71
28,-3804,-3804,222.5331925249193,71,71
29,-3806,-3806,229.51224160101265,71,71
30,-3808,-3808,238.1881292599719,71,71
31,-3810,-3810,245.6921020790469,71,71
32,-3812,-3812,253.46775454399176,71,71
33,-3814,-3814,261.20668553886935,71,71
34,-3816,-3816,269.38381361286156,71,71
35,-3818,-3818,277.00870047393255,71,71
36,-3826,-3826,285.0485565760173,71,71
37,-3832,-3832,292.93750312994234,71,71
38,-3834,-3834,300.57969865598716,71,71
39,-3836,-3836,307.0756383880507,71,71
40,-3838,-3838,314.2085121739656,71,71
41,-3840,-3840,321.98852507886477,71,71
42,-3842,-3842,329.5620923510287,71,71
43,-3848,-3848,336.68825515103526,71,71
44,-3850,-3850,344.97049549384974,71,71
45,-3852,-3852,352.50529561704025,71,71
46,-3856,-3856,359.64078841288574,71,71
47,-3864,-3864,367.93532564886846,70,70
48,-3870,-3870,375.45659492095,70,70
49,-3872,-3872,382.8625146560371,70,70
50,-3874,-3874,390.4610004569404,70,70
51,-3876,-3876,398.10864114691503,70,70
52,-3880,-3880,405.5923561200034,70,70
53,-3882,-3882,412.4863134138286,70,70
54,-3884,-3884,420.11755288299173,70,70
55,-3890,-3890,427.4609071300365,70,70
56,-3894,-3894,434.4428059239872,70,70
57,-3896,-3896,442.37579593993723,70,70
58,-3900,-3900,450.52344658295624,70,70
59,-3902,-3902,458.35453389189206,70,70
60,-3904,-3904,465.9737269959878,70,70
61,-3908,-3908,473.8129372498952,69,69
62,-3912,-3912,481.3734397168737,69,69
63,-3914,-3914,488.88562516798265,69,69
64,-3916,-3916,496.7328144670464,69,69
65,-3918,-3918,504.2962335930206,69,69
66,-3918,-3918,504.58183279796503,69,69
67,-3918,-3918,504.8678344739601,69,69
68,-3918,-3918,505.1472045169212,69,69
69,-3922,-3922,512.6799659249373,69,69
70,-3924,-3924,521.133348488016,69,69
71,-3926,-3926,528.8546305969357,69,69
72,-3928,-3928,536.8052489249967,69,69
73,-3930,-3930,544.581746116979,69,69
74,-3936,-3936,553.1062721658964,69,69
75,-3938,-3938,561.0030335148331,69,69
76,-3944,-3944,568.5602782859933,69,69
77,-3946,-3946,576.2661176738329,69,69
78,-3948,-3948,584.7937345649116,69,69
79,-3950,-3950,593.0115487000439,69,69
80,-3952,-3952,600.1205888588447,69,69
81,-3958,-3958,608.01895181695,69,69
82,-3962,-3962,615.4761195180472,69,69
83,-3964,-3964,623.5840720538981,69,69
84,-3964,-3964,623.8777820628602,69,69
85,-3966,-3966,631.3096150248311,69,69
86,-3966,-3966,631.8376868849155,69,69
87,-3966,-3966,632.1175482738763,69,69
88,-3972,-3972,639.3791963299736,69,69
89,-3972,-3972,639.6627345299348,69,69
90,-3972,-3972,639.9424921909813,69,69
91,-3974,-3974,647.6760667029303,69,69
92,-3978,-3978,655.1366831378546,69,69
93,-3986,-3986,662.474035470048,69,69
94,-3988,-3988,670.6434145509265,68,68
95,-3988,-3988,670.9747683939058,68,68
96,-3988,-3988,671.2981614849996,68,68
97,-3988,-3988,671.5894440568518,68,68
98,-3988,-3988,671.8824833929539,68,68
99,-3988,-3988,672.1683091018349,68,68
100,-3990,-3990,680.0617969760206,68,68
101,-3990,-3990,680.3393392299768,68,68
102,-3992,-3992,687.9820716499817,68,68
103,-3996,-3996,695.6330807248596,67,67
104,-3996,-3996,695.9060700959526,67,67
105,-4000,-4000,703.6366243408993,67,67
106,-4002,-4002,711.891112532001,67,67
107,-4004,-4004,719.7164353979751,67,67
108,-4004,-4004,720.0094025938306,67,67
109,-4004,-4004,720.3455528889317,67,67
110,-4012,-4012,728.0161644918844,66,66
111,-4012,-4012,728.5335079669021,66,66
112,-4012,-4012,728.8075466118753,66,66
113,-4014,-4014,736.578774826834,66,66
114,-4018,-4018,744.7097948209848,66,66
115,-4020,-4020,752.5601130209398,66,66
116,-4022,-4022,760.2763416778762,66,66
117,-4026,-4026,768.2674656598829,66,66
118,-4032,-4032,776.2353539690375,66,66
119,-4032,-4032,776.5066545349546,66,66
120,-4038,-4038,784.0230730150361,66,66
121,-4038,-4038,784.2881763740443,66,66
