Iteration,Current evaluation,Best evaluation,Time Used,Current colours used,Best colours used
1,-1670,-1670,0.42762050312012434,40,40
2,-1672,-1672,0.7037391769699752,40,40
3,-1674,-1674,0.8909319390077144,40,40
4,-1678,-1678,1.1562361971009523,40,40
5,-1680,-1680,1.3500362520571798,40,40
6,-1682,-1682,1.6441961820237339,40,40
7,-1684,-1684,1.851141723105684,40,40
8,-1690,-1690,2.1321779740974307,40,40
9,-1692,-1692,2.4244823900517076,40,40
10,-1694,-1694,2.6220336940605193,40,40
11,-1696,-1696,2.923188630025834,40,40
12,-1698,-1698,3.132638875162229,40,40
13,-1700,-1700,3.4393525971099734,40,40
14,-1702,-1702,3.6251044091768563,40,40
15,-1704,-1704,3.9036147601436824,40,40
16,-1710,-1710,4.1060393520165235,40,40
17,-1712,-1712,4.3926698609720916,40,40
18,-1714,-1714,4.702337912051007,40,40
19,-1716,-1716,4.907625884050503,40,40
20,-1718,-1718,5.209303979063407,40,40
21,-1722,-1722,5.41804395406507,40,40
22,-1724,-1724,5.708854075055569,40,40
23,-1726,-1726,5.907847996102646,40,40
24,-1734,-1734,6.203243723139167,39,39
25,-1736,-1736,6.391308240126818,39,39
26,-1738,-1738,6.682930768001825,39,39
27,-1742,-1742,6.987167587969452,39,39
28,-1746,-1746,7.184524238109589,39,39
29,-1754,-1754,7.476643318077549,39,39
30,-1756,-1756,7.6831308379769325,39,39
31,-1758,-1758,7.946940595051274,39,39
32,-1762,-1762,8.124447518028319,39,39
33,-1766,-1766,8.402531481115147,39,39
34,-1768,-1768,8.595942463027313,39,39
35,-1770,-1770,8.868069332093,39,39
36,-1772,-1772,9.056558907032013,39,39
37,-1774,-1774,9.341952522052452,39,39
38,-1780,-1780,9.639379432192072,38,38
39,-1782,-1782,9.852199350018054,38,38
40,-1786,-1786,10.120615306077525,38,38
41,-1790,-1790,10.302422672044486,38,38
42,-1794,-1794,10.578561830101535,38,38
43,-1796,-1796,10.793748044176027,38,38
44,-1806,-1806,11.089828327065334,38,38
45,-1808,-1808,11.310860126977786,38,38
46,-1812,-1812,11.574818816035986,38,38
47,-1814,-1814,11.856212077196687,38,38
48,-1820,-1820,12.053683883044869,38,38
49,-1822,-1822,12.364749923115596,38,38
50,-1822,-1822,12.429804160026833,38,38
51,-1822,-1822,12.49361728108488,38,38
52,-1824,-1824,12.6801175060682,38,38
53,-1830,-1830,12.928399579133838,37,37
54,-1834,-1834,13.104423981159925,37,37
55,-1836,-1836,13.410082965157926,37,37
56,-1838,-1838,13.677471013972536,36,36
57,-1838,-1838,13.740001914091408,36,36
58,-1838,-1838,13.802490981994197,36,36
