Iteration,Current evaluation,Best evaluation,Time Used,Current colours used,Best colours used
1,-3754,-3754,13.243770628003404,72,72
2,-3756,-3756,20.235973136033863,72,72
3,-3758,-3758,26.878235317999497,72,72
4,-3760,-3760,33.5719206451904,72,72
5,-3764,-3764,40.28449486196041,72,72
6,-3766,-3766,46.952771054115146,72,72
7,-3768,-3768,53.98946897103451,72,72
8,-3774,-3774,60.65530592412688,72,72
9,-3776,-3776,67.68290366302244,72,72
10,-3778,-3778,74.64844242902473,72,72
11,-3784,-3784,81.53897284716368,72,72
12,-3786,-3786,88.55646695615724,72,72
13,-3788,-3788,95.53687139600515,72,72
14,-3790,-3790,102.36329588200897,72,72
15,-3792,-3792,108.83752377796918,72,72
16,-3796,-3796,116.02957026613876,72,72
17,-3798,-3798,123.17317548207939,72,72
18,-3800,-3800,129.54371894313954,72,72
19,-3802,-3802,136.60595557815395,72,72
20,-3804,-3804,143.46462755999528,72,72
21,-3808,-3808,150.59110037097707,72,72
22,-3810,-3810,157.4515432191547,72,72
23,-3816,-3816,164.68615070008673,72,72
24,-3822,-3822,171.29404260101728,72,72
25,-3826,-3826,178.3369559070561,72,72
26,-3828,-3828,185.09527660813183,72,72
27,-3830,-3830,192.37084510712884,72,72
28,-3832,-3832,198.8756551821716,72,72
29,-3834,-3834,206.00302153103985,72,72
30,-3836,-3836,213.02744738315232,72,72
31,-3840,-3840,219.45855296007358,72,72
32,-3842,-3842,226.49902472505346,72,72
33,-3846,-3846,233.22017165110447,72,72
34,-3848,-3848,240.28738774498925,72,72
35,-3852,-3852,247.22681296709925,72,72
36,-3854,-3854,253.58497856906615,72,72
37,-3856,-3856,260.90936072403565,72,72
38,-3864,-3864,267.6092913299799,72,72
39,-3866,-3866,274.81086883996613,72,72
40,-3870,-3870,281.56669239513576,72,72
41,-3876,-3876,288.76277114404365,71,71
42,-3878,-3878,295.2643317140173,71,71
43,-3882,-3882,302.36747079808265,71,71
44,-3884,-3884,309.20016113412566,71,71
45,-3888,-3888,316.53505548718385,71,71
46,-3890,-3890,323.0753296571784,71,71
47,-3892,-3892,330.34942819108255,71,71
48,-3900,-3900,337.38436859007925,71,71
49,-3904,-3904,343.81932993000373,70,70
50,-3912,-3912,351.170262463158,70,70
51,-3914,-3914,358.173816699069,70,70
52,-3916,-3916,364.57096004718915,70,70
53,-3920,-3920,371.56186187407,69,69
54,-3924,-3924,378.41492030513473,69,69
55,-3926,-3926,385.65807447908446,69,69
56,-3932,-3932,393.79929825500585,69,69
57,-3934,-3934,400.9248509251047,69,69
58,-3938,-3938,408.8533880279865,68,68
59,-3940,-3940,416.4260697821155,68,68
60,-3942,-3942,424.4259423520416,68,68
61,-3944,-3944,431.9176478621084,68,68
62,-3946,-3946,438.8701256401837,68,68
63,-3950,-3950,446.51264109415933,68,68
64,-3952,-3952,453.842230490176,68,68
65,-3956,-3956,462.7500754480716,68,68
66,-3958,-3958,470.4187927530147,68,68
67,-3962,-3962,477.9596760701388,68,68
68,-3964,-3964,485.69512540404685,68,68
69,-3966,-3966,493.3579168149736,68,68
70,-3968,-3968,501.4597761121113,68,68
71,-3970,-3970,508.9761320101097,68,68
72,-3972,-3972,515.9776422141585,68,68
73,-3974,-3974,523.5968342891429,68,68
74,-3980,-3980,531.5258050980046,68,68
75,-3984,-3984,539.2908498921897,67,67
76,-3988,-3988,546.8217510371469,67,67
77,-3990,-3990,553.6364646169823,67,67
78,-3992,-3992,561.2864470621571,67,67
79,-3994,-3994,568.7171156280674,67,67
80,-3998,-3998,576.4698480160441,67,67
81,-4000,-4000,583.8213135190308,67,67
82,-4006,-4006,590.7665691301227,67,67
83,-4010,-4010,598.3762418220285,67,67
84,-4012,-4012,605.7159498760011,67,67
85,-4016,-4016,613.4019642020576,67,67
86,-4018,-4018,620.1203106881585,67,67
87,-4020,-4020,627.3000962021761,67,67
88,-4022,-4022,633.8217227561399,67,67
89,-4022,-4022,634.3612081881147,67,67
90,-4022,-4022,634.6019594690297,67,67
91,-4026,-4026,641.3870553921442,67,67
92,-4028,-4028,648.6882594320923,66,66
93,-4030,-4030,655.3502314761281,66,66
94,-4032,-4032,662.6671483339742,66,66
95,-4032,-4032,662.9137344721239,66,66
96,-4034,-4034,669.8889847949613,66,66
97,-4040,-4040,676.6211523830425,66,66
98,-4042,-4042,683.8385062911548,66,66
99,-4044,-4044,690.7165637691505,66,66
100,-4044,-4044,690.967499159975,66,66
101,-4046,-4046,698.1967723541893,66,66
102,-4052,-4052,704.6930832990911,66,66
103,-4052,-4052,705.2313777389936,66,66
104,-4054,-4054,712.2828709250316,66,66
105,-4058,-4058,719.5750617519952,66,66
106,-4066,-4066,726.0834488691762,66,66
107,-4070,-4070,733.4178050670307,66,66
108,-4070,-4070,733.6767217139713,66,66
109,-4072,-4072,740.8035678281449,66,66
110,-4072,-4072,741.0459081979934,66,66
111,-4074,-4074,747.955589720048,66,66
112,-4076,-4076,754.4086181730963,66,66
113,-4078,-4078,761.5855285560247,66,66
114,-4080,-4080,768.0018089190125,65,65
115,-4084,-4084,775.0634785431903,65,65
116,-4084,-4084,775.3118306749966,65,65
117,-4084,-4084,775.5478767820168,65,65
118,-4090,-4090,782.5386461319868,65,65
119,-4092,-4092,789.4349194930401,65,65
120,-4092,-4092,789.7035444220528,65,65
121,-4094,-4094,796.7806494841352,65,65
122,-4094,-4094,797.0368954690639,65,65
123,-4096,-4096,803.8516399040818,65,65
124,-4096,-4096,804.0928039101418,65,65
125,-4096,-4096,804.3763971880544,65,65
126,-4098,-4098,811.6858784740325,65,65
127,-4100,-4100,818.4699897810351,65,65
128,-4108,-4108,825.5611643600278,65,65
129,-4110,-4110,832.4322164249606,65,65
130,-4110,-4110,832.6920899420511,65,65
131,-4124,-4124,839.7262601240072,65,65
132,-4126,-4126,846.4934506230056,64,64
133,-4126,-4126,846.7384724451695,64,64
134,-4126,-4126,846.9795632101595,64,64
135,-4126,-4126,847.230187603971,64,64
136,-4128,-4128,854.4672439750284,64,64
137,-4130,-4130,861.5036978661083,64,64
138,-4134,-4134,868.3838259740733,64,64
139,-4134,-4134,868.6201896520797,64,64
140,-4136,-4136,875.5041718601715,64,64
141,-4138,-4138,882.3039081259631,64,64
142,-4140,-4140,889.1627067660447,64,64
143,-4142,-4142,895.9902726600412,64,64
144,-4142,-4142,896.2346296589822,64,64
145,-4142,-4142,896.4715450280346,64,64
146,-4144,-4144,903.3301064521074,64,64
147,-4144,-4144,903.5679337561596,64,64
148,-4146,-4146,909.9753297420684,64,64
149,-4150,-4150,917.0824875321705,64,64
150,-4150,-4150,917.3234394460451,64,64
151,-4152,-4152,923.9683840640355,64,64
152,-4152,-4152,924.5173438009806,64,64
153,-4152,-4152,924.7401604140177,64,64
154,-4152,-4152,924.988550591981,64,64
155,-4152,-4152,925.2339412341826,64,64
156,-4152,-4152,925.4902010201477,64,64
157,-4152,-4152,925.7328124381602,64,64
158,-4152,-4152,925.9930211910978,64,64
159,-4152,-4152,926.2393087970559,64,64
160,-4152,-4152,926.4849939821288,64,64
161,-4152,-4152,927.031420773128,64,64
162,-4158,-4158,933.772577182157,64,64
163,-4158,-4158,934.0260219471529,64,64
164,-4158,-4158,934.2730543380603,64,64
165,-4158,-4158,934.5130217110272,64,64
166,-4162,-4162,941.6254364510532,64,64
167,-4166,-4166,948.7686304501258,64,64
168,-4166,-4166,949.0139136721846,64,64
169,-4166,-4166,949.2500074121635,64,64
170,-4166,-4166,949.4918587950524,64,64
171,-4166,-4166,949.7363964831457,64,64
172,-4166,-4166,949.9842336811125,64,64
173,-4166,-4166,950.2291063640732,64,64
174,-4166,-4166,950.4773345841095,64,64
175,-4166,-4166,950.717944652075,64,64
176,-4166,-4166,950.966751255095,64,64
177,-4170,-4170,957.8161940360442,64,64
178,-4170,-4170,958.0628628251143,64,64
179,-4170,-4170,958.3192234050948,64,64
180,-4176,-4176,965.5339718121104,64,64
181,-4176,-4176,965.7806645559613,64,64
182,-4178,-4178,972.7336001440417,64,64
183,-4180,-4180,979.8428839310072,63,63
184,-4180,-4180,980.0937735701445,63,63
185,-4184,-4184,986.884765092982,63,63
186,-4188,-4188,993.2856343721505,63,63
187,-4190,-4190,1000.4051132341847,63,63
188,-4192,-4192,1007.3570292531513,63,63
189,-4198,-4198,1014.4363179020584,63,63
190,-4204,-4204,1021.2473078151233,63,63
191,-4206,-4206,1027.9297401569784,63,63
192,-4206,-4206,1028.184053199133,63,63
193,-4206,-4206,1028.4238038421609,63,63
194,-4206,-4206,1028.6669166439679,63,63
195,-4206,-4206,1028.941874406999,63,63
196,-4206,-4206,1029.464025810128,63,63
197,-4214,-4214,1036.246061060112,63,63
198,-4216,-4216,1043.3657856630161,63,63
199,-4216,-4216,1043.6000095920172,63,63
200,-4216,-4216,1043.8403754341416,63,63
201,-4220,-4220,1050.3490731471684,63,63
202,-4234,-4234,1057.3860429800116,63,63
203,-4234,-4234,1057.6190285959747,63,63
204,-4234,-4234,1057.8773804041557,63,63
205,-4234,-4234,1058.106189937098,63,63
206,-4234,-4234,1058.3548041100148,63,63
207,-4234,-4234,1058.620833270019,63,63
208,-4232,-4234,1058.8482302550692,62,63
209,-4236,-4236,1066.0813432859723,62,62
