Iteration,Current evaluation,Best evaluation,Time Used,Current colours used,Best colours used
1,-3716,-3716,15.050052216043696,74,74
2,-3718,-3718,21.839151063002646,74,74
3,-3720,-3720,28.364309096941724,74,74
4,-3722,-3722,40.02795725199394,74,74
5,-3726,-3726,48.61079228203744,74,74
6,-3728,-3728,56.836257747840136,74,74
7,-3732,-3732,64.04122587502934,74,74
8,-3734,-3734,72.02601965796202,74,74
9,-3736,-3736,79.53792243404314,74,74
10,-3740,-3740,86.35653926501982,74,74
11,-3744,-3744,93.33945678197779,74,74
12,-3746,-3746,100.02625928586349,74,74
13,-3748,-3748,107.08025694196112,74,74
14,-3750,-3750,114.39188515604474,74,74
15,-3752,-3752,123.18413505284116,74,74
16,-3754,-3754,130.5374377130065,74,74
17,-3756,-3756,139.03520894795656,74,74
18,-3762,-3762,146.62397916289046,74,74
19,-3766,-3766,154.3905734529253,74,74
20,-3770,-3770,162.14266685186885,74,74
21,-3776,-3776,169.94349869294092,74,74
22,-3778,-3778,177.70853955484927,74,74
23,-3780,-3780,185.5122235310264,73,73
24,-3784,-3784,192.9968275509309,72,72
25,-3786,-3786,200.23578419699334,72,72
26,-3788,-3788,207.6519010218326,72,72
27,-3792,-3792,215.20208350685425,71,71
28,-3796,-3796,222.4119466789998,71,71
29,-3798,-3798,229.98364717001095,71,71
30,-3800,-3800,237.44710912485607,71,71
31,-3806,-3806,245.05603681784123,71,71
32,-3810,-3810,252.54437060793862,71,71
33,-3812,-3812,259.72214310383424,71,71
34,-3814,-3814,267.317794512026,71,71
35,-3816,-3816,274.48813576600514,71,71
36,-3818,-3818,282.16853835084476,71,71
37,-3820,-3820,289.4586101300083,71,71
38,-3822,-3822,296.36539524188265,71,71
39,-3828,-3828,303.92522115283646,71,71
40,-3832,-3832,311.1118422090076,71,71
41,-3834,-3834,318.6941650179215,71,71
42,-3836,-3836,325.77057912084274,71,71
43,-3838,-3838,332.8359462679364,71,71
44,-3840,-3840,339.595660291845,71,71
45,-3842,-3842,345.91944175586104,71,71
46,-3846,-3846,352.7485506788362,71,71
47,-3848,-3848,359.31162328785285,71,71
48,-3850,-3850,366.3547881860286,71,71
49,-3852,-3852,373.01347753591835,71,71
50,-3854,-3854,380.0033086789772,71,71
51,-3858,-3858,386.73411433189176,71,71
52,-3860,-3860,393.01424862700514,71,71
53,-3862,-3862,400.02501838700846,71,71
54,-3864,-3864,406.5221150999423,71,71
55,-3866,-3866,413.4780880738981,71,71
56,-3868,-3868,420.214612175012,71,71
57,-3872,-3872,427.3366860449314,71,71
58,-3878,-3878,434.1306122809183,71,71
59,-3880,-3880,440.47852863091975,70,70
60,-3894,-3894,447.4701637758408,70,70
61,-3896,-3896,454.04184227087535,70,70
62,-3898,-3898,461.0343843149021,70,70
63,-3904,-3904,467.67078662198037,70,70
64,-3906,-3906,474.794170452049,70,70
65,-3910,-3910,481.7062892569229,70,70
66,-3914,-3914,488.17735229688697,70,70
67,-3916,-3916,495.3873825520277,70,70
68,-3924,-3924,501.928915270837,70,70
69,-3928,-3928,509.18386331782676,70,70
70,-3930,-3930,515.9370689999778,70,70
71,-3932,-3932,522.9462874138262,69,69
72,-3934,-3934,530.1905926000327,69,69
73,-3934,-3934,530.4298098448198,69,69
74,-3936,-3936,537.655551510863,69,69
75,-3938,-3938,544.0071539988276,69,69
